date,val
17-05-12,38
18-05-12,38.23
21-05-12,34.03
22-05-12,31
23-05-12,32
24-05-12,33.03
25-05-12,31.91
29-05-12,28.84
30-05-12,28.19
31-05-12,29.6
01-06-12,27.72
04-06-12,26.9
05-06-12,25.87
06-06-12,26.81
07-06-12,26.31
08-06-12,27.1
11-06-12,27
12-06-12,27.4
13-06-12,27.27
14-06-12,28.29
15-06-12,30.01
18-06-12,31.41
19-06-12,31.91
20-06-12,31.6
21-06-12,31.84
22-06-12,33.05
25-06-12,32.06
26-06-12,33.1
27-06-12,32.23
28-06-12,31.36
29-06-12,31.1
02-07-12,30.77
03-07-12,31.2
05-07-12,31.47
06-07-12,31.73
09-07-12,32.17
10-07-12,31.47
11-07-12,30.97
12-07-12,30.81
13-07-12,30.72
16-07-12,28.24
17-07-12,28.09
18-07-12,29.11
19-07-12,29
20-07-12,28.76
23-07-12,28.75
24-07-12,28.45
25-07-12,29.34
26-07-12,26.84
27-07-12,23.7
30-07-12,23.15
31-07-12,21.71
01-08-12,20.88
02-08-12,20.04
03-08-12,21.09
06-08-12,21.92
07-08-12,20.72
08-08-12,20.72
09-08-12,21.01
10-08-12,21.81
13-08-12,21.6
14-08-12,20.38
15-08-12,21.2
16-08-12,19.87
17-08-12,19.05
20-08-12,20.01
21-08-12,19.16
22-08-12,19.44
23-08-12,19.44
24-08-12,19.41
27-08-12,19.15
28-08-12,19.34
29-08-12,19.1
30-08-12,19.09
31-08-12,18.06
04-09-12,17.73
05-09-12,18.58
06-09-12,18.96
07-09-12,18.98
10-09-12,18.81
11-09-12,19.43
12-09-12,20.93
13-09-12,20.71
14-09-12,22
17-09-12,21.52
18-09-12,21.87
19-09-12,23.29
20-09-12,22.59
21-09-12,22.86
24-09-12,20.79
25-09-12,20.28
26-09-12,20.62
27-09-12,20.32
28-09-12,21.66
01-10-12,21.99
02-10-12,22.27
03-10-12,21.83
04-10-12,21.95
05-10-12,20.91
08-10-12,20.4
09-10-12,20.23
10-10-12,19.64
11-10-12,19.75
12-10-12,19.52
15-10-12,19.52
16-10-12,19.48
17-10-12,19.88
18-10-12,18.98
19-10-12,19
22-10-12,19.32
23-10-12,19.5
24-10-12,23.23
25-10-12,22.56
26-10-12,21.94
31-10-12,21.11
01-11-12,21.21
02-11-12,21.18
05-11-12,21.25
06-11-12,21.17
07-11-12,20.47
08-11-12,19.99
09-11-12,19.21
12-11-12,20.07
13-11-12,19.86
14-11-12,22.36
15-11-12,22.17
16-11-12,23.56
19-11-12,22.92
20-11-12,23.1
21-11-12,24.32
23-11-12,24
26-11-12,25.94
27-11-12,26.15
28-11-12,26.36
29-11-12,27.32
30-11-12,28
03-12-12,27.04
04-12-12,27.46
05-12-12,27.71
06-12-12,26.97
07-12-12,27.48
10-12-12,27.84
11-12-12,27.98
12-12-12,27.58
13-12-12,28.24
14-12-12,26.81
17-12-12,26.75
18-12-12,27.71
19-12-12,27.41
20-12-12,27.36
21-12-12,26.26
24-12-12,26.93
26-12-12,26.51
27-12-12,26.05
28-12-12,25.91
31-12-12,26.62
02-01-13,28
