,year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour,season,total_delay
46590,2013,10,22,630.0,630,0.0,852.0,838,14.0,B6,675,N612JB,JFK,MSY,183.0,1182,6,30,2013-10-22 06:00:00,fall,14.0
220488,2013,5,30,918.0,925,-7.0,1054.0,1110,-16.0,AA,1855,N4XJAA,LGA,STL,124.0,888,9,25,2013-05-30 09:00:00,spring,-23.0
226972,2013,6,6,827.0,835,-8.0,1003.0,1020,-17.0,MQ,4558,N711MQ,LGA,CLE,72.0,419,8,35,2013-06-06 08:00:00,spring,-25.0
251790,2013,7,2,1201.0,1035,86.0,1521.0,1350,91.0,AA,1879,N3CWAA,LGA,MIA,175.0,1096,10,35,2013-07-02 10:00:00,summer,177.0
176650,2013,4,13,629.0,630,-1.0,832.0,832,0.0,US,1433,N566UW,LGA,CLT,90.0,544,6,30,2013-04-13 06:00:00,spring,-1.0
296785,2013,8,18,1749.0,1755,-6.0,2049.0,2045,4.0,AA,785,N3HMAA,LGA,DFW,185.0,1389,17,55,2013-08-18 17:00:00,summer,-2.0
60021,2013,11,5,1518.0,1520,-2.0,1707.0,1721,-14.0,EV,4326,N13914,EWR,CLT,92.0,529,15,20,2013-11-05 15:00:00,fall,-16.0
249342,2013,6,29,1808.0,1810,-2.0,1908.0,1935,-27.0,WN,2115,N414WN,EWR,MDW,106.0,711,18,10,2013-06-29 18:00:00,summer,-29.0
82587,2013,11,30,1056.0,1100,-4.0,1347.0,1407,-20.0,DL,1275,N380DA,JFK,SLC,268.0,1990,11,0,2013-11-30 11:00:00,fall,-24.0
270634,2013,7,22,1356.0,1358,-2.0,1643.0,1649,-6.0,UA,1152,N77261,EWR,LAX,323.0,2454,13,58,2013-07-22 13:00:00,summer,-8.0
246661,2013,6,26,2235.0,2029,126.0,208.0,2359,129.0,B6,915,N529JB,JFK,SFO,327.0,2586,20,29,2013-06-26 20:00:00,summer,255.0
303516,2013,8,25,1925.0,1930,-5.0,2041.0,2050,-9.0,EV,5769,N909EV,LGA,IAD,43.0,229,19,30,2013-08-25 19:00:00,summer,-14.0
33061,2013,10,7,1453.0,1450,3.0,1754.0,1755,-1.0,UA,395,N496UA,EWR,FLL,163.0,1065,14,50,2013-10-07 14:00:00,fall,2.0
130786,2013,2,22,2254.0,2145,69.0,2349.0,2239,70.0,EV,4378,N11548,EWR,BWI,37.0,169,21,45,2013-02-22 21:00:00,winter,139.0
272333,2013,7,24,834.0,834,0.0,1026.0,1032,-6.0,B6,219,N374JB,JFK,CLT,91.0,541,8,34,2013-07-24 08:00:00,summer,-6.0
31215,2013,10,5,1124.0,1135,-11.0,1247.0,1300,-13.0,MQ,3461,N511MQ,LGA,BNA,105.0,764,11,35,2013-10-05 11:00:00,fall,-24.0
306913,2013,8,29,1053.0,1058,-5.0,1314.0,1338,-24.0,UA,1545,N56859,EWR,IAH,170.0,1400,10,58,2013-08-29 10:00:00,summer,-29.0
287345,2013,8,8,1913.0,1748,85.0,2153.0,2035,78.0,B6,299,N630JB,LGA,MCO,120.0,950,17,48,2013-08-08 17:00:00,summer,163.0
40590,2013,10,15,1515.0,1515,0.0,1715.0,1724,-9.0,EV,4181,N11127,EWR,MCI,151.0,1092,15,15,2013-10-15 15:00:00,fall,-9.0
149981,2013,3,15,1650.0,1610,40.0,1831.0,1800,31.0,AA,341,N4YRAA,LGA,ORD,128.0,733,16,10,2013-03-15 16:00:00,winter,71.0
139232,2013,3,4,1135.0,1137,-2.0,1403.0,1403,0.0,UA,580,N423UA,EWR,DEN,241.0,1605,11,37,2013-03-04 11:00:00,winter,-2.0
334643,2013,9,28,1538.0,1530,8.0,1734.0,1752,-18.0,UA,745,N566UA,LGA,DEN,213.0,1620,15,30,2013-09-28 15:00:00,fall,-10.0
54182,2013,10,30,823.0,830,-7.0,952.0,1019,-27.0,EV,5195,N612QX,LGA,RIC,56.0,292,8,30,2013-10-30 08:00:00,fall,-34.0
166060,2013,4,2,550.0,600,-10.0,800.0,810,-10.0,MQ,4650,N518MQ,LGA,ATL,114.0,762,6,0,2013-04-02 06:00:00,spring,-20.0
157820,2013,3,24,917.0,910,7.0,1242.0,1235,7.0,VX,407,N642VA,JFK,LAX,343.0,2475,9,10,2013-03-24 09:00:00,spring,14.0
185471,2013,4,22,1531.0,1535,-4.0,1635.0,1655,-20.0,WN,1153,N287WN,EWR,MDW,108.0,711,15,35,2013-04-22 15:00:00,spring,-24.0
168132,2013,4,4,704.0,710,-6.0,1012.0,1035,-23.0,VX,399,N638VA,JFK,LAX,335.0,2475,7,10,2013-04-04 07:00:00,spring,-29.0
289875,2013,8,11,1444.0,1445,-1.0,1658.0,1720,-22.0,B6,477,N346JB,JFK,JAX,112.0,828,14,45,2013-08-11 14:00:00,summer,-23.0
155490,2013,3,21,1556.0,1605,-9.0,1756.0,1750,6.0,MQ,4415,N711MQ,LGA,RDU,72.0,431,16,5,2013-03-21 16:00:00,spring,-3.0
201203,2013,5,9,1028.0,1030,-2.0,1344.0,1322,22.0,UA,384,N480UA,LGA,IAH,200.0,1416,10,30,2013-05-09 10:00:00,spring,20.0
288396,2013,8,9,1956.0,1930,26.0,31.0,2105,,EV,4191,N14952,EWR,BNA,,748,19,30,2013-08-09 19:00:00,summer,
201027,2013,5,9,751.0,755,-4.0,935.0,1005,-30.0,9E,3353,N931XJ,JFK,DTW,77.0,509,7,55,2013-05-09 07:00:00,spring,-34.0
289953,2013,8,11,1539.0,1535,4.0,1719.0,1725,-6.0,MQ,3416,N805MQ,LGA,RDU,69.0,431,15,35,2013-08-11 15:00:00,summer,-2.0
205605,2013,5,14,750.0,755,-5.0,1022.0,1045,-23.0,B6,341,N784JB,JFK,SRQ,134.0,1041,7,55,2013-05-14 07:00:00,spring,-28.0
15788,2013,1,18,2039.0,2045,-6.0,2143.0,2154,-11.0,B6,1178,N552JB,EWR,BOS,41.0,200,20,45,2013-01-18 20:00:00,winter,-17.0
151348,2013,3,17,1100.0,1100,0.0,1216.0,1215,1.0,MQ,3792,N515MQ,JFK,DCA,49.0,213,11,0,2013-03-17 11:00:00,winter,1.0
310866,2013,9,3,558.0,600,-2.0,853.0,923,-30.0,UA,303,N598UA,JFK,SFO,329.0,2586,6,0,2013-09-03 06:00:00,summer,-32.0
30183,2013,10,4,900.0,900,0.0,1200.0,1206,-6.0,UA,1581,N53441,EWR,SEA,331.0,2402,9,0,2013-10-04 09:00:00,fall,-6.0
283886,2013,8,5,936.0,850,46.0,1038.0,1014,24.0,9E,3466,N905XJ,JFK,DCA,47.0,213,8,50,2013-08-05 08:00:00,summer,70.0
144206,2013,3,9,1520.0,1515,5.0,1837.0,1850,-13.0,UA,1265,N37462,EWR,PHX,295.0,2133,15,15,2013-03-09 15:00:00,winter,-8.0
144758,2013,3,10,1010.0,914,56.0,1241.0,1206,35.0,B6,883,N536JB,JFK,MCO,125.0,944,9,14,2013-03-10 09:00:00,winter,91.0
140253,2013,3,5,1234.0,1238,-4.0,1430.0,1434,-4.0,DL,1544,N905DE,EWR,DTW,94.0,488,12,38,2013-03-05 12:00:00,winter,-8.0
105435,2013,12,25,1052.0,1100,-8.0,1337.0,1354,-17.0,DL,405,N925DL,JFK,MCO,138.0,944,11,0,2013-12-25 11:00:00,winter,-25.0
155828,2013,3,21,2108.0,1940,88.0,12.0,2245,87.0,B6,381,N503JB,LGA,FLL,155.0,1076,19,40,2013-03-21 19:00:00,spring,175.0
45239,2013,10,20,1648.0,1655,-7.0,1823.0,1845,-22.0,AA,2223,N595AA,LGA,STL,138.0,888,16,55,2013-10-20 16:00:00,fall,-29.0
98162,2013,12,17,933.0,930,3.0,1553.0,1535,18.0,HA,51,N380HA,JFK,HNL,621.0,4983,9,30,2013-12-17 09:00:00,fall,21.0
175626,2013,4,12,555.0,601,-6.0,655.0,709,-14.0,B6,380,N307JB,EWR,BOS,34.0,200,6,1,2013-04-12 06:00:00,spring,-20.0
323285,2013,9,16,1438.0,1440,-2.0,1618.0,1640,-22.0,DL,1231,N366NB,LGA,DTW,81.0,502,14,40,2013-09-16 14:00:00,summer,-24.0
156249,2013,3,22,1152.0,1200,-8.0,1243.0,1303,-20.0,B6,1174,N274JB,EWR,BOS,36.0,200,12,0,2013-03-22 12:00:00,spring,-28.0
322496,2013,9,15,1722.0,1715,7.0,1838.0,1830,8.0,B6,2580,N346JB,EWR,BOS,46.0,200,17,15,2013-09-15 17:00:00,summer,15.0
50126,2013,10,25,1641.0,1642,-1.0,1940.0,2000,-20.0,UA,1284,N39297,EWR,SFO,335.0,2565,16,42,2013-10-25 16:00:00,fall,-21.0
323205,2013,9,16,1254.0,1300,-6.0,1540.0,1555,-15.0,VX,165,N640VA,EWR,LAX,323.0,2454,13,0,2013-09-16 13:00:00,summer,-21.0
224704,2013,6,3,2007.0,1859,68.0,2152.0,2059,53.0,9E,3455,N925XJ,JFK,PIT,67.0,340,18,59,2013-06-03 18:00:00,spring,121.0
187004,2013,4,24,750.0,741,9.0,927.0,912,15.0,UA,1162,N39416,EWR,ORD,116.0,719,7,41,2013-04-24 07:00:00,spring,24.0
82878,2013,11,30,1644.0,1700,-16.0,1837.0,1845,-8.0,MQ,3501,N847MQ,LGA,RDU,82.0,431,17,0,2013-11-30 17:00:00,fall,-24.0
64888,2013,11,10,2028.0,1935,53.0,2214.0,2132,42.0,EV,5287,N707EV,LGA,MSN,132.0,812,19,35,2013-11-10 19:00:00,fall,95.0
